episode_id,activity_start,start_tau_in,peak_time,end_tau_out,duration_min,TTP_min,TTR_min,Dmax_feature,Dmax_OP,D_residual,recovery_rate_per_min,AUC_D,L_OP_path_length,trajectory_efficiency,C_peak,V_peak,A_peak,L_peak,R_end,relapse
1,Duduk,2026-09-04T08:07:00,2026-09-04T08:08:00,2026-09-04T08:15:00,9.0,1.0,7.0,2.027751713251964,2.018845750211167,0.769680032244134,0.17972452585826143,10.003662702056783,5.510269866764678,0.22010991388114562,0.9720504501160216,-0.9625844233807803,0.8707619888668422,0.6678778871801963,1.0,1
2,Duduk,2026-09-04T08:25:00,2026-09-04T08:40:00,2026-09-04T08:43:00,19.0,15.0,3.0,3.004250682498376,1.899979445233726,0.5884527085968041,0.8052659913005239,26.4383365824832,17.635000129235,0.09045057889515574,-0.2224859245527621,0.9997170685779541,-0.6139633234823533,0.7976408618517307,1.0,1
3,Duduk,2026-09-04T08:49:00,2026-09-04T08:49:00,2026-09-04T09:18:00,30.0,0.0,29.0,8.164026092982356,1.843035357182844,0.755867087532597,0.2554537588086124,54.169894105701715,21.317193705282914,0.06933235838009445,0.5567420833712864,0.9999999998877717,-0.33105458785011327,0.988544607247109,1.0,0
4,Berjalan,2026-09-04T12:27:00,2026-09-04T12:40:00,2026-09-04T12:47:00,21.0,13.0,7.0,2.9289036232205956,1.9742190544598803,0.8397670039808404,0.29844808846282217,27.281743098682174,27.731115823573166,0.09124300289362966,-0.9002368062069618,0.9509966137187321,-0.7691235392645898,0.5467778169965527,1.0,0
5,Berkendara,2026-09-04T13:42:00,2026-09-04T13:43:00,2026-09-04T13:49:00,8.0,1.0,6.0,2.615326908078671,2.099547246843736,0.735915466959042,0.3132352401866048,12.183683155803855,8.272809737939799,0.3254873937888777,0.9812355966175814,-0.9896575913461652,0.9434316866278486,0.75880817748433,1.0,0
6,Berbaring,2026-09-04T14:08:00,2026-09-04T14:08:00,2026-09-04T14:16:00,9.0,0.0,8.0,3.9743265239706216,1.786161168061267,0.9355460156491601,0.3798475635401827,11.723157476317603,8.687931874800036,0.1394193828626824,0.2719026445677936,-0.9483052183997045,0.7147009355846378,0.8404525302462726,1.0,0
7,Berbaring,2026-09-04T14:49:00,2026-09-04T14:52:00,2026-09-04T14:54:00,6.0,3.0,2.0,2.9701561123144313,1.8364535426606008,0.5603658027762396,1.2048951547690958,9.704771291375444,8.383085226360482,0.21139052993614,-0.9521203488219209,0.19256070774920944,-0.4025288309051278,0.7042084471641152,1.0,0
8,Berbaring,2026-09-04T15:18:00,2026-09-04T15:18:00,2026-09-04T15:24:00,7.0,0.0,6.0,6.434493542893687,1.7919661792704,0.7709840649973625,0.9439182463160541,11.03647737998944,6.993117381303573,0.313082134434751,0.5150783519923859,0.9999999804619174,-0.06255364986353897,0.9705277733906832,1.0,0
9,Berbaring,2026-09-04T16:24:00,2026-09-04T16:25:00,2026-09-04T16:29:00,6.0,1.0,4.0,4.851675484009576,1.9039088821951438,0.9234954131465138,0.9820450177157655,12.226864664344502,9.499928804826576,0.19645365848977814,0.9992261355336493,0.9766975979290772,0.14607389275600838,0.8069326996861188,1.0,1
10,Berbaring,2026-09-04T16:43:00,2026-09-04T16:44:00,2026-09-04T16:46:00,4.0,1.0,2.0,2.9266357766095634,1.9679602342231683,0.7503855704934407,1.0881251030580614,4.98602321780894,4.68272749221791,0.4318068816289627,-0.9402114635359761,0.9365476432932919,-0.7987650782229969,0.6882751985742593,1.0,1
