episode_id,activity_start,start_tau_in,peak_time,end_tau_out,duration_min,TTP_min,TTR_min,Dmax_feature,Dmax_OP,D_residual,recovery_rate_per_min,AUC_D,L_OP_path_length,trajectory_efficiency,C_peak,V_peak,A_peak,L_peak,R_end,relapse
1,Berbaring,2026-09-13T00:35:00,2026-09-13T00:51:00,2026-09-13T00:53:00,19.0,16.0,2.0,5.123327721533837,2.110018862690534,0.8458029646201357,2.1387623784568506,38.59399155604269,22.273205000620067,0.06411254149902455,-0.9850372864661459,-0.6147985142184121,-0.02170279405765539,0.8999125503819756,1.0,0
2,Berbaring,2026-09-13T02:20:00,2026-09-13T06:23:00,2026-09-13T06:25:00,246.0,243.0,2.0,3.1654011718346107,2.0654731531785884,0.36356820423870817,1.4009164837979513,725.8128630015955,4.036747623284906,0.4014577608648815,0.8392025794539277,0.9993026834998002,0.3609651237098683,0.8125074472263896,1.0,0
3,Makan,2026-09-13T06:34:00,2026-09-13T06:38:00,2026-09-13T06:42:00,9.0,4.0,4.0,41.45225134815064,2.0104262198006966,0.5534374567791523,10.224703472842872,151.0164327352333,5.905310476985157,0.35515335065761944,0.7961903237782709,1.0,-0.6386662304062992,0.9999999998612892,1.0,0
4,Berbaring,2026-09-13T07:51:00,2026-09-13T08:17:00,2026-09-13T08:39:00,49.0,26.0,22.0,4.8503209521124875,2.0565041740210113,0.944326694321299,0.17754519353596313,105.48285363454255,14.407105453444577,0.09244184074922923,0.9999619740474618,-0.4691114202923893,0.7920307989567794,0.848419230888747,1.0,0
5,Berbaring,2026-09-13T14:50:00,2026-09-13T14:50:00,2026-09-13T14:58:00,9.0,0.0,8.0,3.5402565677081164,1.7105359620182552,0.7097584306869252,0.3538122671276489,15.257951145249741,12.314799451638233,0.16353362655513312,0.9987499059413644,0.41600173181624267,0.31063351595663113,0.811715024272769,1.0,1
6,Berbaring,2026-09-13T15:03:00,2026-09-13T15:03:00,2026-09-13T15:06:00,4.0,0.0,3.0,2.4782135031683525,1.7519516361708682,0.2353978862387656,0.7476052056431955,4.1389248006016865,4.159609542823989,0.37524109346071244,0.9832074955461032,-0.32490600980479273,0.7207006359069904,0.6911325736642202,1.0,0
7,Berbaring,2026-09-13T15:23:00,2026-09-13T15:32:00,2026-09-13T15:35:00,13.0,9.0,3.0,2.2242565116922,1.7207978394248136,0.8009510706292554,0.4744351470209816,15.152120922828118,17.30575704778865,0.1069364990168238,-0.9467911547722938,0.1620785560762416,-0.7166802798249425,0.6458001421460415,1.0,0
8,Berbaring,2026-09-13T16:39:00,2026-09-13T16:40:00,2026-09-13T16:42:00,4.0,1.0,2.0,4.278680227136376,2.0727920723496136,0.7873918571778392,1.7456441849792683,6.705231141208325,4.687502311451721,0.4039131652110384,-0.9793888150485667,0.9986747579615682,-0.7622711975400921,0.8711233399263089,1.0,0
9,Berbaring,2026-09-13T17:38:00,2026-09-13T17:39:00,2026-09-13T17:41:00,4.0,1.0,2.0,4.3103563764195645,1.9777862764128007,0.9809999467190333,1.6646782148502655,7.035631078153467,3.8017279017940226,0.5590312598709158,-0.998485803827287,0.7430008660499026,-0.7827408693284118,0.86598562300669,1.0,0
10,Berbaring,2026-09-13T18:17:00,2026-09-13T18:18:00,2026-09-13T18:20:00,4.0,1.0,2.0,3.6821129512541324,2.0756860825525587,0.7693045854175823,1.456404182918275,6.15349413482537,4.330682254214831,0.4755195470117673,-0.9116181399458563,0.9998070855988441,-0.8628396035170554,0.856340288911436,1.0,1
11,Berbaring,2026-09-13T18:34:00,2026-09-13T18:36:00,2026-09-13T18:40:00,7.0,2.0,4.0,2.4475239426636897,1.7688932538007218,0.6219108344982494,0.4564032770413601,9.824245079271996,7.3073556714763646,0.2881380252397885,0.9738444769298942,-0.4099785267029319,0.7521623845151054,0.6684157636216321,1.0,0
12,Berbaring,2026-09-13T19:02:00,2026-09-13T19:02:00,2026-09-13T19:14:00,13.0,0.0,12.0,3.7197476963471705,1.8487902462445789,0.7196076690582567,0.25001166894074284,21.60891183933342,15.19979090985809,0.1272754416415574,0.9976969738581329,0.21249532802809185,0.5215597499065058,0.8020116627126912,1.0,0
13,Berbaring,2026-09-13T19:43:00,2026-09-13T19:43:00,2026-09-13T19:46:00,4.0,0.0,3.0,2.8891579459165357,2.0158367778731767,0.9321044769812391,0.6523511563117655,4.379436925374865,3.5137396201271516,0.38258499219411796,0.9981436772830243,-0.85537507454078,0.9036103674596851,0.7205060028894705,1.0,0
14,Berbaring,2026-09-13T21:21:00,2026-09-13T21:21:00,2026-09-13T21:26:00,6.0,0.0,5.0,2.0946033071260337,1.6165527235521249,0.5549699491315939,0.3079266715988879,6.2841612968400975,4.1843682123042605,0.40923707705005746,0.734239879276853,0.7454703888837835,0.014874407450418244,0.6667807219526357,1.0,0
15,Berbaring,2026-09-13T22:07:00,2026-09-13T22:08:00,2026-09-13T22:14:00,8.0,1.0,6.0,3.786186268987148,2.0505589992371798,0.649670361714262,0.5227526512121476,11.692653667615227,6.8093320499024195,0.2998976630291687,-0.9963627541748258,0.9141962367170389,-0.7954658738451404,0.8622834544196771,1.0,1
16,Berbaring,2026-09-13T22:15:00,2026-09-13T22:27:00,2026-09-13T22:42:00,28.0,12.0,15.0,3.9581386695816665,2.093350058835613,0.757237679853631,0.21339339931520235,55.27236544438063,34.20109454169209,0.03950537000907218,-0.8603846293220789,0.9997129878714718,-0.7317842737039564,0.8219448463558556,1.0,1
17,Berbaring,2026-09-13T22:44:00,2026-09-13T22:44:00,2026-09-13T22:55:00,12.0,0.0,11.0,3.9532674176542524,1.9742288156248802,0.7567000444522393,0.29059703392745573,18.46379732786016,10.807316837475284,0.19611690891447003,0.9931160801356583,0.9198393095091743,0.33850747809131737,0.8408896302888832,1.0,0
18,Berbaring,2026-09-13T23:13:00,2026-09-13T23:13:00,2026-09-13T23:16:00,4.0,0.0,3.0,2.688172272525374,1.8115792584396775,0.7527912199349391,0.645127017530145,4.5443673862027865,3.272700394260218,0.6166669239996,0.973727127219418,0.9255279393781402,0.05942088567051303,0.688143940685709,1.0,1
