Waktu,Aktivitas,Valid,Q_Signal,RR_Status,Anomaly_Score,HR_Mean,Z_HR,RMSSD,Z_RMSSD,SDNN,Z_SDNN
2024-05-30T13:05:00.000Z,Lainnya,Yes,,NORMAL,0.37,96.91,,19.57,-0.48,35.13,0.85
2024-05-30T13:15:00.000Z,Lainnya,No,,UNKNOWN,,90,,0,,0,
2024-05-30T13:20:00.000Z,Lainnya,Yes,,NORMAL,0.54,87.47,,23.22,0.09,23.83,-0.65
2024-05-30T13:30:00.000Z,Lainnya,Yes,,NORMAL,0.31,89.15,,19.59,-0.48,24.98,-0.47
2024-05-30T13:35:00.000Z,Lainnya,No,,UNKNOWN,,85,,16,,11.31,
2024-05-30T13:45:00.000Z,Lainnya,Yes,,NORMAL,0.79,86.19,,25.13,0.43,25.97,-0.32
2024-05-30T13:55:00.000Z,Lainnya,No,,UNKNOWN,,84,,23,,16.26,
2024-05-30T14:00:00.000Z,Lainnya,Yes,,NORMAL,0.19,84.01,,28.45,0.96,27.37,-0.12
2024-05-30T14:10:00.000Z,Lainnya,No,,UNKNOWN,,85,,0,,0,
2024-05-30T14:20:00.000Z,Lainnya,Yes,,NORMAL,0.22,77.09,,23.38,0.07,25.13,-0.44
2024-05-30T14:40:00.000Z,Lainnya,No,,UNKNOWN,,72,,5.39,,5.13,
2024-05-30T15:10:00.000Z,Lainnya,Yes,,NORMAL,0.43,82.77,,25.7,0.47,25.03,-0.44
2024-05-30T15:15:00.000Z,Lainnya,No,,UNKNOWN,,81,,29.53,,18.95,
2024-05-30T15:20:00.000Z,Lainnya,Yes,,NORMAL,0.11,81.75,,25.73,0.46,33.51,0.85
2024-05-30T15:30:00.000Z,Lainnya,No,,UNKNOWN,,78,,0,,0,
2024-05-30T15:40:00.000Z,Lainnya,No,,UNKNOWN,,80,,0,,0,
2024-05-30T15:45:00.000Z,Lainnya,Yes,,NORMAL,0.3,79.6,,29.99,1.2,33.26,0.78
2024-05-30T16:05:00.000Z,Lainnya,Yes,,NORMAL,0.51,86.16,,20.2,-0.59,27.95,-0.06
2024-05-30T16:10:00.000Z,Lainnya,Yes,,NORMAL,0.4,81.89,,30.08,1.2,40.48,1.9
2024-05-30T16:20:00.000Z,Lainnya,Yes,,NORMAL,0.26,81.83,,22.34,-0.24,26.45,-0.36
2024-05-30T16:30:00.000Z,Lainnya,Yes,,NORMAL,0.12,83.21,,28.33,0.85,29.75,0.15
2024-05-30T16:35:00.000Z,Lainnya,Yes,,NORMAL,0.27,83.17,,26.55,0.5,47.48,2.89
2024-05-30T16:45:00.000Z,Lainnya,No,,UNKNOWN,,70,,58,,41.01,
