episode_id,activity_start,start_tau_in,peak_time,end_tau_out,duration_min,TTP_min,TTR_min,Dmax_feature,Dmax_OP,D_residual,recovery_rate_per_min,AUC_D,L_OP_path_length,trajectory_efficiency,C_peak,V_peak,A_peak,L_peak,R_end,relapse
1,Berbaring,2026-09-05T01:26:00,2026-09-05T01:26:00,2026-09-05T01:30:00,5.0,0.0,4.0,5.065892083194075,2.043876447348379,0.512623006564891,1.1383172691572958,7.875120070461704,5.423247282580185,0.3429393174151697,0.9999609051319523,-0.7524107337442718,0.9112235629349734,0.8837753257087552,1.0,0
2,Berbaring,2026-09-05T01:47:00,2026-09-05T01:47:00,2026-09-05T01:52:00,6.0,0.0,5.0,6.240876241257327,1.8459103549083828,0.8912357272855729,1.0699281027943508,13.318109711808615,6.659246953279825,0.2424627199075325,0.9998586350224163,0.7008221315906411,0.37905503997062395,0.8791094157581985,1.0,1
3,Berbaring,2026-09-05T02:01:00,2026-09-05T02:09:00,2026-09-05T02:29:00,29.0,8.0,20.0,3.968158568515143,2.0195339680017588,0.42681635272623064,0.17706711078944562,48.09142533012231,24.527236580005262,0.07792854408002689,0.0826285329523723,0.9999628371347468,-0.565732994098443,0.8844999632601674,1.0,1
4,Berbaring,2026-09-05T02:30:00,2026-09-05T02:30:00,2026-09-05T02:39:00,10.0,0.0,9.0,2.989939011243011,1.6818078779389944,0.6659287637519883,0.2582233608323359,12.120879246392798,11.127021070119323,0.14581233162688725,0.963912796287669,0.4058723311440156,0.5573299773567357,0.6511534432081371,1.0,0
5,Berbaring,2026-09-05T03:01:00,2026-09-05T03:01:00,2026-09-05T03:11:00,11.0,0.0,10.0,5.906163903741245,1.8341077520468325,0.8094858403505751,0.5096678063390669,23.219245585750315,14.39797793298713,0.14112600595141714,0.9998691313622091,0.40471589713850725,0.5574262050099303,0.8797181513588976,1.0,0
6,Memasak,2026-09-05T03:19:00,2026-09-05T03:21:00,2026-09-05T03:23:00,5.0,2.0,2.0,2.709059471551107,1.8673859381415507,0.8070551109949741,0.9510021802780664,6.407023510343957,5.319092783343621,0.5052817247715246,0.5439251943437666,0.9686686735302743,0.5021391150127937,0.7457463957631711,1.0,0
7,Berbaring,2026-09-05T03:50:00,2026-09-05T03:50:00,2026-09-05T03:55:00,6.0,0.0,5.0,4.967473597292496,2.0713327952159615,0.9915795414758976,0.7951788111633198,9.612263970194302,6.253379695482822,0.2634744550646941,0.9999766965512445,-0.8226496433735496,0.9229075147291236,0.8729005890738719,1.0,0
8,Berbaring,2026-09-05T04:31:00,2026-09-05T04:31:00,2026-09-05T04:36:00,6.0,0.0,5.0,3.7976928709618702,1.8057098502452515,0.9771324274706001,0.564112088698254,7.283236242477704,5.055446932740027,0.2239771143021307,0.9993833041428526,-0.4054791539379759,0.6986271186247394,0.7805945679525841,1.0,0
9,Duduk,2026-09-05T05:38:00,2026-09-05T05:47:00,2026-09-05T05:53:00,16.0,9.0,6.0,4.089908326691268,2.0519913253388613,0.757507865944307,0.5554000767911602,24.89763191595854,17.324627020507066,0.1744483960120585,0.9400580630063506,0.9999555658653428,-0.2261896476872991,0.8924525142766727,1.0,0
10,Berbaring,2026-09-05T06:45:00,2026-09-05T06:45:00,2026-09-05T06:48:00,4.0,0.0,3.0,2.881727693849803,1.705142059396993,0.449985125057128,0.810580856264225,5.163220751154239,3.308088051428993,0.4818149162699204,-0.08699087616815303,0.9983999009432001,-0.5753765068202564,0.7563607230574861,1.0,0
