episode_id,activity_start,start_tau_in,peak_time,end_tau_out,duration_min,TTP_min,TTR_min,Dmax_feature,Dmax_OP,D_residual,recovery_rate_per_min,AUC_D,L_OP_path_length,trajectory_efficiency,C_peak,V_peak,A_peak,L_peak,R_end,relapse
1,Lainnya,2026-09-07T04:29:00,2026-09-07T04:36:00,2026-09-07T04:38:00,10.0,7.0,2.0,3.172440474486977,2.0350395001742534,0.42510401920365887,1.3736682276416592,16.682889315146475,4.676613362159057,0.38188031300917336,0.2406413658440261,0.9783284199680491,-0.38742635202350173,0.7918101715515505,1.0,0
2,Bekerja,2026-09-07T09:02:00,2026-09-07T09:02:00,2026-09-07T09:48:00,47.0,0.0,46.0,4.567487047503155,2.137929781842242,0.7798365437903044,0.08234022834158371,76.9570696931124,32.96708663478308,0.04028189235953588,-0.9936774933982411,0.9999413103875652,-0.8730861619263323,0.9061935338739452,1.0,0
3,Berjalan,2026-09-07T10:54:00,2026-09-07T10:55:00,2026-09-07T10:57:00,4.0,1.0,2.0,2.1071148511500417,1.8876816103748253,0.5814110446192366,0.7628519032654025,4.14366374342245,4.97774903686863,0.38824685291972005,-0.7849846150936861,0.4591107073074072,-0.6663295166337951,0.514243280382608,1.0,1
4,Berjalan,2026-09-07T11:12:00,2026-09-07T11:13:00,2026-09-07T11:15:00,4.0,1.0,2.0,3.946527912564081,2.0147459872308016,1.156265442213375,1.395131235175353,7.232741251266752,4.383717382029078,0.6172190336107406,-0.9792946278375189,0.9470984372510155,-0.7280747672989604,0.8204237370593579,0.9469662440504791,0
