episode_id,activity_start,start_tau_in,peak_time,end_tau_out,duration_min,TTP_min,TTR_min,Dmax_feature,Dmax_OP,D_residual,recovery_rate_per_min,AUC_D,L_OP_path_length,trajectory_efficiency,C_peak,V_peak,A_peak,L_peak,R_end,relapse
1,Berbaring,2026-09-14T00:01:00,2026-09-14T00:34:00,2026-09-14T00:38:00,38.0,33.0,4.0,5.637649938500705,2.1567988991215756,0.8173131273931564,1.205084202776887,85.18243677808108,37.45039003657227,0.05404991794551932,0.9999978375159064,-0.9632413975426832,0.9311009088508059,0.9257445240522743,1.0,0
2,Berbaring,2026-09-14T03:05:00,2026-09-14T03:09:00,2026-09-14T03:18:00,14.0,4.0,9.0,4.988968075494778,2.1100769036598304,0.9136416191388834,0.45281405070621056,32.8069125721516,15.303613029681323,0.113976751439257,0.732650694425972,0.9999973588130348,-0.4625516634608414,0.9232341374718446,1.0,1
3,Berbaring,2026-09-14T03:31:00,2026-09-14T03:32:00,2026-09-14T03:34:00,4.0,1.0,2.0,2.925035628758743,1.9101060796372527,0.7746415827255376,1.0751970230166028,5.224181185757705,3.171891786321865,0.3703017521489988,-0.443236917175965,-0.6991061536344751,0.40054813008152607,0.6589103755739842,1.0,1
4,Berbaring,2026-09-14T03:38:00,2026-09-14T03:38:00,2026-09-14T03:46:00,9.0,0.0,8.0,4.093325895550578,1.9252065652680581,0.9246579769805865,0.3960834898212489,21.893612673997048,8.625166030207978,0.14856986173975176,0.9993183607239647,-0.3095140930600456,0.7378705049167734,0.8430315465624983,1.0,0
5,Bekerja,2026-09-14T06:14:00,2026-09-14T06:29:00,2026-09-14T06:32:00,19.0,15.0,3.0,2.8888869606291463,2.0566411163964964,0.874519672176881,0.6714557628174217,27.497502262915873,8.049330471771224,0.13752114507980945,0.9905252584613051,-0.03183224884087117,0.6618107421867954,0.6481393334746718,1.0,0
6,Berbaring,2026-09-14T08:39:00,2026-09-14T08:40:00,2026-09-14T08:50:00,12.0,1.0,10.0,2.8951726570932257,2.0081678824494036,0.34743640840873335,0.25477362486844923,13.754576500960688,10.444699392211957,0.14370548793865182,-0.16452367262698192,-0.8374667118977767,0.5377400447582983,0.7182130252965622,1.0,0
7,Lainnya,2026-09-14T08:56:00,2026-09-14T09:03:00,2026-09-14T09:19:00,24.0,7.0,16.0,41.65536110366322,2.163795267765393,0.5614361294591178,2.5683703108877562,343.25574429989246,22.420078414151856,0.0803230074848761,0.5962069908655014,1.0,-0.7116166674210369,0.99999999987652,1.0,0
