activity,baseline_source,n_baseline_windows,hr_mean_center,hr_mean_scale,delta_hr_center,delta_hr_scale,hr_slope_bpm_min_center,hr_slope_bpm_min_scale,rmssd_center,rmssd_scale,sdnn_center,sdnn_scale
Bekerja,context,148,74.5,1.4826,1.0,4.4478,0.7999999999999676,5.9303999999999935,43.02311279432401,16.09907782412895,31.29429467985595,10.55716415711367
Berjalan,context,73,94.25,1.4826,0.0,4.4478,-0.8000000000000761,5.337359999999926,22.992752481307377,16.113485137674996,19.672315572906,9.608846373769978
Berkendara,context,127,74.25,1.11195,0.0,4.4478,-2.6434693199196114e-14,5.930400000000003,39.05978323885921,17.834101494945028,31.468237955119125,10.298390254983383
Berlari,context,111,159.5,1.4826,1.0,4.4478,1.1999999999998912,5.930400000000039,9.46924847422786,3.813760334627231,6.800735254367722,2.4025060694129423
Duduk,context,434,74.25,1.4826,0.0,4.4478,-4.670562265811422e-14,5.337360000000003,39.76483705102061,19.598973095259662,30.751008116238573,12.03320781215064
Makan,context,68,74.625,0.9266249999999999,0.5,4.4478,0.19999999999997492,5.930400000000001,37.96013914429575,17.57294680894192,30.173304408291116,10.790125000621108
Tidur,context,59,54.25,1.4826,0.0,4.4478,0.7999999999999841,5.337360000000006,74.02026749478821,33.98947105262922,58.00574684172825,18.18353670936569
